Longitude,Latitude
-80.13751,25.912127
-80.137505,25.912115
-80.1375,25.91211
-80.1375,25.912104
-80.13749,25.912098
-80.13749,25.912092
-80.13748,25.912086
-80.13748,25.91208
-80.137474,25.912073
-80.13747,25.912062
-80.13747,25.912056
-80.13746,25.91205
-80.13746,25.912043
-80.13745,25.912037
-80.13745,25.91203
-80.13744,25.912024
-80.13744,25.912018
-80.137436,25.912008
-80.137436,25.912004
-80.13743,25.912
-80.13743,25.911997
-80.13742,25.911995
-80.13742,25.911995
-80.13741,25.911995
-80.13741,25.911995
-80.137405,25.911995
-80.1374,25.911999
-80.13739,25.911999
-80.13738,25.912
-80.13738,25.912003
-80.137375,25.912006
-80.13737,25.912008
-80.13736,25.91201
-80.13735,25.912014
-80.137344,25.912016
-80.13733,25.912022
-80.13732,25.912024
-80.137314,25.912025
-80.13731,25.91203
-80.13729,25.912031
-80.13728,25.912033
-80.137276,25.912037
-80.13727,25.912039
-80.13725,25.912045
-80.137245,25.912046
-80.13724,25.912048
-80.13723,25.91205
-80.13722,25.912052
-80.137215,25.912056
-80.1372,25.91206
-80.137184,25.912064
-80.13718,25.912066
-80.13717,25.912067
-80.13716,25.91207
-80.13715,25.912071
-80.137146,25.912073
-80.13714,25.912075
-80.13713,25.912079
-80.13712,25.912079
-80.13712,25.91208
-80.137115,25.912083
-80.137115,25.912086
-80.137115,25.912088
-80.13712,25.912092
-80.13712,25.912094
-80.13712,25.912096
-80.13712,25.912104
-80.13713,25.912107
-80.13713,25.912113
-80.13713,25.912117
-80.13714,25.912123
-80.13714,25.912128
-80.137146,25.912134
-80.137146,25.91214
-80.13716,25.912151
-80.13716,25.912157
-80.13717,25.912165
-80.13717,25.91217
-80.13718,25.912178
-80.137184,25.912184
-80.137184,25.912191
-80.13719,25.912197
-80.1372,25.91221
-80.13721,25.912216
-80.13721,25.912224
-80.137215,25.91223
-80.137215,25.912237
-80.13722,25.912243
-80.13723,25.91225
-80.13724,25.912264
-80.13724,25.912271
-80.137245,25.912277
-80.13725,25.912285
-80.13725,25.91229
-80.13726,25.912298
-80.13727,25.912304
-80.13727,25.912312
-80.137276,25.912325
-80.13728,25.91233
-80.13729,25.912338
-80.13729,25.912346
-80.1373,25.912352
-80.1373,25.912357
-80.13731,25.912365
-80.137314,25.912373
-80.137314,25.912378
-80.13733,25.912392
-80.13733,25.9124
-80.13734,25.912405
-80.13734,25.912413
-80.137344,25.912418
-80.13735,25.912426
-80.13735,25.912432
-80.13736,25.91244
-80.13737,25.912447
-80.137375,25.91246
-80.13738,25.912466
-80.13738,25.912474
-80.13739,25.91248
-80.13739,25.912487
-80.1374,25.912493
-80.137405,25.9125
-80.137405,25.912508
-80.13742,25.912521
-80.13742,25.912527
-80.13743,25.912535
-80.13743,25.91254
-80.137436,25.912548
-80.13744,25.912554
-80.13744,25.912561
-80.13745,25.912567
-80.13746,25.912582
-80.13747,25.912588
-80.13747,25.912596
-80.137474,25.912601
-80.13748,25.91261
-80.13748,25.912615
-80.13749,25.912622
-80.1375,25.912628
-80.1375,25.912636
-80.137505,25.91265
-80.13751,25.912657
-80.13752,25.912663
-80.13752,25.91267
-80.13753,25.912676
-80.137535,25.912682
-80.137535,25.91269
-80.13754,25.912695
-80.13755,25.912703
-80.13756,25.912716
-80.137566,25.912724
-80.137566,25.91273
-80.13757,25.912737
-80.13758,25.912745
-80.13758,25.91275
-80.13759,25.912758
-80.13759,25.912764
-80.1376,25.912777
-80.1376,25.91278
-80.1376,25.912785
-80.13761,25.91279
-80.13761,25.912794
-80.13762,25.9128
-80.13763,25.91281
-80.137634,25.912815
-80.137634,25.91282
-80.13764,25.912827
-80.13765,25.912832
-80.13766,25.912838
-80.13766,25.912844
-80.137665,25.91285
-80.13768,25.912863
-80.13768,25.912868
-80.13769,25.912874
-80.137695,25.91288
-80.1377,25.912886
-80.13771,25.912893
-80.13771,25.912899
-80.13772,25.912905
-80.13773,25.912916
-80.13773,25.912924
-80.13774,25.91293
-80.13775,25.912935
-80.13776,25.912941
-80.137764,25.912949
-80.137764,25.912954
-80.13777,25.91296
-80.13779,25.912973
-80.13779,25.91298
-80.137794,25.912985
-80.1378,25.91299
-80.13781,25.912996
-80.13781,25.913004
-80.13782,25.91301
-80.137825,25.913015
-80.13783,25.913029
-80.13784,25.913034
-80.13785,25.91304
-80.137856,25.913046
-80.13786,25.913052
-80.13786,25.913052
-80.13787,25.913065
-80.13788,25.91307
-80.137886,25.913084
-80.13789,25.91309
-80.1379,25.913095
-80.13791,25.913103
-80.13791,25.913109
-80.13792,25.913115
-80.137924,25.913118
-80.137924,25.913124
-80.137924,25.913128
-80.13793,25.913137
-80.13794,25.913141
-80.13794,25.913141
-80.13795,25.913143
-80.13795,25.913143
-80.137955,25.913143
-80.137955,25.913141
-80.13797,25.91314
-80.13797,25.913137
-80.13798,25.913134
-80.137985,25.913132
-80.13799,25.913128
-80.138,25.913124
-80.138,25.91312
-80.13801,25.913118
-80.138016,25.913116
-80.13802,25.913115
-80.13802,25.913109
-80.13802,25.913107
-80.13802,25.913105
-80.13802,25.913103
-80.13802,25.913101
-80.138016,25.9131
-80.138016,25.913094
-80.13801,25.91309
-80.13801,25.913084
-80.138,25.91308
-80.13799,25.913074
-80.13799,25.91307
-80.137985,25.913065
-80.137985,25.91306
-80.13797,25.913048
-80.13797,25.913042
-80.13796,25.913036
-80.137955,25.91303
-80.137955,25.913025
-80.13795,25.91302
-80.13795,25.913013
-80.13793,25.913002
-80.13793,25.912994
-80.137924,25.912989
-80.13792,25.912983
-80.13792,25.912977
-80.13791,25.912971
-80.1379,25.912968
-80.1379,25.912964
-80.137886,25.912958
-80.137886,25.912956
-80.13788,25.912956
-80.13788,25.912956
-80.13787,25.912954
-80.13786,25.912952
-80.13786,25.91295
-80.137856,25.912949
-80.13784,25.912941
-80.13783,25.91294
-80.13783,25.912937
-80.137825,25.912935
-80.13782,25.912933
-80.13782,25.91293
-80.13781,25.912926
-80.13781,25.912922
-80.13781,25.912918
-80.13781,25.912914
-80.1378,25.912909
-80.1378,25.912903
-80.1378,25.912897
-80.1378,25.91289
-80.1378,25.912884
-80.137794,25.91287
-80.137794,25.912863
-80.137794,25.912855
-80.137794,25.91285
-80.13779,25.912842
-80.13779,25.912834
-80.13779,25.912827
-80.13779,25.912819
-80.13778,25.912806
-80.13778,25.912798
-80.13778,25.91279
-80.13777,25.912783
-80.13777,25.912777
-80.13777,25.91277
-80.13777,25.912766
-80.13777,25.91276
-80.13777,25.912756
-80.137764,25.912748
-80.137764,25.912745
-80.13777,25.91274
-80.13777,25.912739
-80.13777,25.912737
-80.13777,25.912735
-80.13778,25.912733
-80.13778,25.912731
-80.137794,25.912727
-80.137794,25.912724
-80.1378,25.912722
-80.13781,25.912718
-80.13782,25.912716
-80.137825,25.912714
-80.137825,25.91271
-80.13784,25.912706
-80.13784,25.912706
-80.13785,25.912704
-80.137856,25.912704
-80.137856,25.912704
-80.13786,25.912704
-80.13786,25.9127
-80.13787,25.912695
-80.13787,25.912693
-80.13787,25.91269
-80.13786,25.912687
-80.13786,25.912683
-80.13786,25.912682
-80.13786,25.912678
-80.13786,25.912672
-80.137856,25.912668
-80.137856,25.912664
-80.13785,25.912653
-80.13784,25.912647
-80.13784,25.912642
-80.13783,25.912636
-80.13783,25.912628
-80.137825,25.912622
-80.137825,25.912617
-80.13782,25.912603
-80.13781,25.912598
-80.13781,25.91259
-80.1378,25.912584
-80.137794,25.912579
-80.137794,25.91257
-80.13779,25.912565
-80.13779,25.912558
-80.13778,25.912544
-80.13777,25.912539
-80.13777,25.91253
-80.137764,25.912525
-80.137764,25.91252
-80.13776,25.912512
-80.13775,25.912506
-80.13775,25.9125
-80.13774,25.912493
-80.13773,25.912481
-80.13773,25.912474
-80.137726,25.912468
-80.137726,25.912462
-80.13772,25.912455
-80.13772,25.912449
-80.13771,25.912441
-80.13771,25.912436
-80.137695,25.912422
-80.137695,25.912416
-80.13769,25.912409
-80.13769,25.912403
-80.13768,25.912395
-80.13768,25.91239
-80.13767,25.912384
-80.137665,25.912376
-80.13766,25.912363
-80.13766,25.912357
-80.13765,25.912352
-80.13765,25.912344
-80.13764,25.912338
-80.13764,25.912333
-80.137634,25.912325
-80.137634,25.91232
-80.13763,25.912306
-80.13762,25.912298
-80.13762,25.912292
-80.13761,25.912287
-80.13761,25.91228
-80.1376,25.912273
-80.1376,25.912268
-80.137596,25.91226
-80.13759,25.912247
-80.13758,25.912241
-80.13758,25.912233
-80.13757,25.912228
-80.13757,25.912222
-80.137566,25.912216
-80.137566,25.912209
-80.13756,25.912203
-80.13755,25.91219
-80.13755,25.912184
-80.13754,25.912176
-80.13754,25.91217
-80.137535,25.912163
-80.13753,25.912157
-80.13753,25.912151
-80.13752,25.912144
-80.13751,25.912132
-80.13751,25.912125
-80.137505,25.912119
-80.137505,25.912111
-80.1375,25.912106
-80.1375,25.9121
-80.13749,25.912092
-80.13748,25.91208
-80.13748,25.912073
-80.137474,25.912067
-80.137474,25.912062
-80.13747,25.912054
-80.13746,25.912048
-80.13746,25.91204
-80.13745,25.912035
-80.13744,25.912022
-80.13744,25.912016
-80.137436,25.912012
-80.137436,25.912006
-80.137436,25.912004
-80.13743,25.912
-80.13742,25.911999
-80.13742,25.911999
-80.13741,25.911999
-80.137405,25.911999
-80.137405,25.912
-80.1374,25.912003
-80.13739,25.912003
-80.13738,25.912004
-80.13738,25.912006
-80.137375,25.91201
-80.13736,25.912014
-80.13735,25.912018
-80.137344,25.91202
-80.13734,25.912022
-80.13733,25.912025
-80.137314,25.912027
-80.1373,25.912033
-80.13729,25.912035
-80.13728,25.912039
-80.137276,25.91204
-80.13727,25.912043
-80.13726,25.912045
-80.13725,25.912046
-80.137245,25.912048
-80.13724,25.91205
-80.13722,25.912054
-80.13721,25.912056
-80.1372,25.91206
-80.13719,25.912062
-80.137184,25.912064
-80.13718,25.912066
-80.13717,25.912067
-80.13716,25.91207
-80.137146,25.912075
-80.13713,25.912077
-80.13713,25.912079
-80.13712,25.912083
-80.13712,25.912086
-80.137115,25.91209
-80.137115,25.912094
-80.13712,25.9121
-80.13712,25.912102
-80.13712,25.912106
-80.13712,25.912111
-80.13713,25.912115
-80.13713,25.91212
-80.13714,25.912127
-80.13714,25.91213
-80.137146,25.912144
-80.13715,25.91215
-80.13716,25.912155
-80.13716,25.91216
-80.13717,25.912169
-80.13717,25.912174
-80.13718,25.91218
-80.137184,25.912188
-80.13719,25.912199
-80.13719,25.912205
-80.1372,25.912212
-80.13721,25.912218
-80.13721,25.912226
-80.137215,25.912231
-80.137215,25.91224
-80.13723,25.91225
-80.13723,25.912258
-80.13724,25.912266
-80.13724,25.912271
-80.137245,25.91228
-80.13725,25.912285
-80.13725,25.912292
-80.13726,25.912298
-80.13727,25.912312
-80.137276,25.912317
-80.137276,25.912325
-80.13728,25.91233
-80.13728,25.912338
-80.13729,25.912344
-80.1373,25.912352
-80.1373,25.912357
-80.13731,25.912373
-80.137314,25.912378
-80.13732,25.912386
-80.13732,25.912392
-80.13733,25.9124
-80.13734,25.912405
-80.13734,25.912413
-80.137344,25.912418
-80.137344,25.912424
-80.13736,25.91244
-80.13736,25.912445
-80.13737,25.91245
-80.137375,25.912458
-80.137375,25.912464
-80.13738,25.912472
-80.13738,25.912477
-80.1374,25.91249
-80.1374,25.912498
-80.13741,25.91251
-80.13741,25.912518
-80.13742,25.912523
-80.13742,25.91253
-80.13743,25.912537
-80.137436,25.91255
-80.13744,25.912558
-80.13744,25.912563
-80.13745,25.91257
-80.13745,25.912579
-80.13746,25.912584
-80.13746,25.912592
-80.13747,25.912598
-80.137474,25.912611
-80.13748,25.912619
-80.13748,25.912626
-80.13749,25.912632
-80.1375,25.912638
-80.1375,25.912645
-80.137505,25.912651
-80.13751,25.912659
-80.13752,25.912672
-80.13753,25.912678
-80.13753,25.912683
-80.137535,25.912691
-80.13754,25.912697
-80.13754,25.912704
-80.13755,25.91271
-80.13756,25.912724
-80.137566,25.91273
-80.137566,25.912735
-80.13757,25.912743
-80.13758,25.912748
-80.13758,25.912754
-80.137596,25.912773
-80.1376,25.912779
-80.1376,25.912783
-80.1376,25.912788
-80.13761,25.912792
-80.13761,25.912796
-80.13761,25.912802
-80.13762,25.912806
-80.13763,25.912817
-80.137634,25.91282
-80.13764,25.912827
-80.13764,25.912832
-80.13765,25.912838
-80.13765,25.912838
-80.137665,25.91285
-80.137665,25.912855
-80.13767,25.91286
-80.13769,25.912874
-80.137695,25.91288
-80.137695,25.912886
-80.1377,25.912891
-80.13771,25.912897
-80.13772,25.912903
-80.13772,25.912909
-80.137726,25.912914
-80.13774,25.912926
-80.13775,25.912933
-80.13775,25.91294
-80.13776,25.912945
-80.137764,25.91295
-80.13777,25.912956
-80.13777,25.912962
-80.13778,25.912968
-80.137794,25.912981
-80.137794,25.912987
-80.1378,25.912992
-80.13781,25.912998
-80.13782,25.913004
-80.137825,25.91301
-80.137825,25.913015
-80.13783,25.913021
-80.13784,25.913029
-80.13785,25.91304
-80.137856,25.913046
-80.13786,25.913052
-80.13787,25.913057
-80.13788,25.913065
-80.13788,25.91307
-80.13789,25.913082
-80.1379,25.913095
-80.13791,25.913101
-80.13792,25.913107
-80.13792,25.913113
-80.137924,25.913116
-80.13793,25.913122
-80.13793,25.913126
-80.13793,25.91313
-80.13794,25.913132
-80.13795,25.913136
-80.13795,25.913136
-80.137955,25.913136
-80.13796,25.913134
-80.13796,25.913134
-80.13797,25.913134
-80.13798,25.913132
-80.13798,25.91313
-80.13799,25.913124
-80.138,25.91312
-80.138,25.913118
-80.13801,25.913118
-80.13801,25.913116
-80.138016,25.913113
-80.138016,25.91311
-80.138016,25.913107
-80.138016,25.913103
-80.138016,25.913097
-80.138016,25.913097
-80.13801,25.913092
-80.13801,25.913088
-80.13801,25.913082
-80.138,25.913078
-80.138,25.913073
-80.13799,25.913067
-80.137985,25.913057
-80.13798,25.913052
-80.13797,25.913046
-80.13797,25.91304
-80.13796,25.913034
-80.137955,25.913029
-80.137955,25.913023
-80.13795,25.913017
-80.13794,25.913006
-80.13793,25.913
-80.137924,25.912992
-80.137924,25.912987
-80.13792,25.912981
-80.13791,25.912975
-80.13791,25.91297
-80.1379,25.912964
-80.1379,25.91296
-80.137886,25.91295
-80.13788,25.912947
-80.13788,25.912943
-80.13787,25.91294
-80.13786,25.912935
-80.137856,25.912933
-80.13784,25.91293
-80.13783,25.912926
-80.137825,25.912924
-80.13782,25.912924
-80.13782,25.912922
-80.13781,25.91292
-80.13781,25.912918
-80.13781,25.912914
-80.13781,25.912912
-80.1378,25.912907
-80.1378,25.912903
-80.1378,25.912899
-80.1378,25.912893
-80.1378,25.912888
-80.137794,25.912882
-80.137794,25.912876
-80.137794,25.912868
-80.137794,25.912863
-80.13779,25.912848
-80.13779,25.912842
-80.13779,25.912834
-80.13779,25.912828
-80.13779,25.91282
-80.13778,25.912813
-80.13778,25.912807
-80.13778,25.9128
-80.13778,25.912792
-80.13777,25.912779
-80.13777,25.912771
-80.13777,25.912767
-80.13777,25.912762
-80.13777,25.912758
-80.137764,25.912754
-80.137764,25.912754
-80.13777,25.912746
-80.13778,25.91274
-80.13778,25.912737
-80.13779,25.912733
-80.13779,25.91273
-80.137794,25.912725
-80.1378,25.912722
-80.1378,25.91272
-80.13781,25.912716
-80.137825,25.91271
-80.13783,25.912708
-80.13784,25.912706
-80.13784,25.912706
-80.13785,25.912706
-80.137856,25.912704
-80.137856,25.912703
-80.137856,25.912695
-80.137856,25.912693
-80.137856,25.912691
-80.137856,25.912687
-80.137856,25.912683
-80.137856,25.91268
-80.13785,25.912672
-80.13785,25.912666
-80.13784,25.912663
-80.13784,25.912657
-80.13783,25.912651
-80.13783,25.912645
-80.137825,25.912638
-80.137825,25.912632
-80.13782,25.912619
-80.13781,25.912613
-80.13781,25.912607
-80.1378,25.9126
-80.137794,25.912594
-80.137794,25.912586
-80.13779,25.91258
-80.13779,25.912573
-80.13778,25.912561
-80.13777,25.912554
-80.13777,25.912548
-80.137764,25.91254
-80.137764,25.912535
-80.13776,25.912527
-80.13776,25.91252
-80.13775,25.912514
-80.13774,25.912506
-80.13773,25.912493
-80.13773,25.912487
-80.137726,25.91248
-80.137726,25.912474
-80.13772,25.912466
-80.13772,25.91246
-80.13771,25.912455
-80.13771,25.912447
-80.1377,25.912434
-80.137695,25.912426
-80.13769,25.91242
-80.13769,25.912413
-80.13768,25.912407
-80.13768,25.9124
-80.13767,25.912394
-80.13767,25.912388
-80.137665,25.91238
-80.13766,25.912367
-80.13765,25.91236
-80.13765,25.912354
-80.13764,25.912348
-80.13764,25.91234
-80.137634,25.912334
-80.137634,25.912327
-80.13763,25.912321
-80.13762,25.912308
-80.13762,25.9123
-80.13761,25.912287
-80.1376,25.912281
-80.1376,25.912273
-80.137596,25.912268
-80.137596,25.912262
-80.13759,25.912254
-80.13758,25.912243
-80.13758,25.912235
-80.13757,25.91223
-80.13757,25.912222
-80.137566,25.912216
-80.137566,25.91221
-80.13756,25.912205
-80.13756,25.912199
-80.13755,25.912191
-80.13754,25.91218
-80.13754,25.912174
-80.137535,25.912169
-80.137535,25.91216
-80.13753,25.912155
-80.13753,25.91215
-80.13752,25.912144
-80.13752,25.912136
-80.13751,25.912125
-80.137505,25.912119
-80.137505,25.912111
-80.1375,25.912106
-80.13749,25.912098
-80.13749,25.912092
-80.13748,25.912086
-80.13748,25.912079
-80.137474,25.912067
-80.13747,25.91206
-80.13747,25.912054
-80.13746,25.912046
-80.13746,25.91204
-80.13745,25.912033
-80.13744,25.912027
-80.13744,25.912022
-80.137436,25.91201
-80.137436,25.912004
-80.13743,25.912
-80.13743,25.911997
-80.13742,25.911993
-80.13742,25.911991
-80.13741,25.91199
-80.13741,25.911991
-80.137405,25.911991
-80.137405,25.911993
-80.1374,25.911993
-80.13739,25.911995
-80.13739,25.911997
-80.13738,25.911999
-80.137375,25.912
-80.13736,25.912006
-80.13735,25.912008
-80.137344,25.912012
-80.13734,25.912014
-80.13733,25.912016
-80.13732,25.91202
-80.137314,25.912022
-80.13729,25.91203
-80.13728,25.912031
-80.137276,25.912033
-80.13727,25.912035
-80.13726,25.912039
-80.13725,25.91204
-80.137245,25.912043
-80.13724,25.912045
-80.13722,25.91205
-80.137215,25.912052
-80.13721,25.912054
-80.1372,25.912058
-80.13719,25.91206
-80.137184,25.912062
-80.13718,25.912064
-80.13716,25.912067
-80.13715,25.91207
-80.137146,25.912073
-80.13714,25.912075
-80.13714,25.912077
-80.13713,25.912077
-80.13712,25.912079
-80.13712,25.91208
-80.137115,25.912083
-80.137115,25.91209
-80.137115,25.912094
-80.137115,25.912098
-80.137115,25.912102
-80.137115,25.912104
-80.137115,25.91211
-80.13712,25.912113
-80.13712,25.912117
-80.13713,25.912128
-80.13713,25.912134
-80.13714,25.91214
-80.13714,25.912146
-80.137146,25.912153
-80.13715,25.912159
-80.13715,25.912165
-80.13716,25.91217
-80.13717,25.912184
-80.13718,25.91219
-80.13718,25.912195
-80.137184,25.9122
-80.13719,25.912209
-80.13719,25.912214
-80.1372,25.912222
-80.13721,25.912233
-80.137215,25.91224
-80.137215,25.912247
-80.13722,25.912252
-80.13722,25.912258
-80.13723,25.912266
-80.13724,25.912271
-80.13724,25.91228
-80.137245,25.91229
-80.13725,25.912298
-80.13726,25.912304
-80.13726,25.91231
-80.13727,25.912317
-80.13727,25.912323
-80.137276,25.91233
-80.137276,25.912336
-80.13729,25.91235
-80.13729,25.912357
-80.1373,25.912363
-80.1373,25.912369
-80.13731,25.912376
-80.137314,25.912382
-80.137314,25.912388
-80.13732,25.912401
-80.13733,25.912407
-80.13734,25.912415
-80.13734,25.91242
-80.137344,25.912426
-80.13735,25.912434
-80.13735,25.91244
-80.13736,25.912445
-80.13737,25.912458
-80.137375,25.912464
-80.137375,25.912472
-80.13738,25.912477
-80.13738,25.912483
-80.13739,25.91249
-80.1374,25.912497
-80.1374,25.912502
-80.137405,25.912516
-80.13741,25.912521
-80.13742,25.912529
-80.13742,25.912535
-80.13743,25.91254
-80.137436,25.912546
-80.137436,25.912554
-80.13744,25.91256
-80.13744,25.912565
-80.13745,25.912579
-80.13746,25.912586
-80.13746,25.912594
-80.13747,25.9126
-80.137474,25.912607
-80.137474,25.912613
-80.13748,25.91262
-80.13748,25.912626
-80.1375,25.91264
-80.1375,25.912645
-80.137505,25.912653
-80.13751,25.912659
-80.13751,25.912666
-80.13752,25.912672
-80.13753,25.912678
-80.13753,25.912683
-80.137535,25.912691
-80.13754,25.912703
-80.13755,25.91271
-80.13756,25.912716
-80.13756,25.912722
-80.137566,25.912727
-80.13757,25.912735
-80.13757,25.91274
-80.13758,25.912746
-80.13759,25.91276
-80.137596,25.912766
-80.137596,25.912771
-80.1376,25.912775
-80.1376,25.91278
-80.13761,25.912785
-80.13761,25.912788
-80.13762,25.912792
-80.13763,25.912804
-80.13763,25.912807
-80.137634,25.912813
-80.13764,25.912819
-80.13764,25.912825
-80.13765,25.91283
-80.13766,25.912838
-80.13766,25.912844
-80.137665,25.91285
-80.13768,25.91286
-80.13768,25.912867
-80.13769,25.912872
-80.137695,25.912878
-80.137695,25.912884
-80.1377,25.912891
-80.13771,25.912897
-80.13772,25.912903
-80.137726,25.912914
-80.13773,25.91292
-80.13774,25.912926
-80.13774,25.912931
-80.13775,25.912937
-80.137764,25.912949
-80.137764,25.912954
-80.13777,25.91296
-80.13778,25.912966
-80.137794,25.912977
-80.137794,25.912983
-80.1378,25.912989
-80.13781,25.912994
-80.13782,25.913002
-80.13782,25.913008
-80.13783,25.91302
-80.13783,25.91302
-80.13784,25.91303
-80.13785,25.913036
-80.137856,25.913042
-80.13786,25.913048
-80.13786,25.913054
-80.13787,25.91306
-80.13788,25.913065
-80.137886,25.913078
-80.13789,25.913084
-80.1379,25.91309
-80.13791,25.913095
-80.13791,25.913101
-80.13792,25.913107
-80.137924,25.913113
-80.137924,25.913116
-80.13793,25.913126
-80.13794,25.91313
-80.13794,25.913134
-80.13795,25.913134
-80.13795,25.913134
-80.137955,25.913136
-80.137955,25.913136
-80.13796,25.913134
-80.13797,25.913132
-80.13798,25.91313
-80.137985,25.913126
-80.137985,25.913124
-80.13799,25.91312
-80.138,25.913118
-80.13801,25.91311
-80.138016,25.913101
-80.138016,25.913097
-80.138016,25.913094
-80.13801,25.91309
-80.13801,25.913086
-80.13801,25.91308
-80.138,25.913076
-80.138,25.91307
-80.13799,25.91306
-80.137985,25.913054
-80.13798,25.913048
-80.13798,25.913042
-80.13797,25.913036
-80.13796,25.91303
-80.13796,25.913025
-80.13795,25.913015
-80.13795,25.91301
-80.13794,25.913004
-80.13793,25.912998
-80.13793,25.912992
-80.137924,25.912987
-80.13792,25.912981
-80.13792,25.912975
-80.13791,25.912971
-80.1379,25.912962
-80.13789,25.912958
-80.13789,25.912956
-80.137886,25.912952
-80.137886,25.91295
-80.13788,25.912949
-80.13787,25.912945
-80.137856,25.912941
-80.13785,25.91294
-80.13785,25.912937
-80.13784,25.912935
-80.13783,25.912935
-80.13783,25.912933
-80.137825,25.912933
-80.137825,25.912931
-80.13782,25.912928
-80.13782,25.912926
-80.13782,25.912922
-80.13782,25.91292
-80.13781,25.912916
-80.13781,25.912912
-80.13781,25.912907
-80.13781,25.9129
-80.13781,25.912895
-80.1378,25.912882
-80.1378,25.912876
-80.1378,25.91287
-80.137794,25.912863
-80.137794,25.912857
-80.137794,25.91285
-80.137794,25.912844
-80.13779,25.912836
-80.13779,25.91282
-80.13779,25.912815
-80.13778,25.912807
-80.13778,25.9128
-80.13778,25.912794
-80.13777,25.912786
-80.13777,25.912779
-80.13777,25.912773
-80.13777,25.912764
-80.137764,25.912758
-80.137764,25.912754
-80.137764,25.91275
-80.13776,25.912746
